time,opname,outlier,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479844212,zlog_batch_write_simple,0,25,1024,50,10,2800,28008
1479844214,zlog_batch_write_simple,0,25,1024,50,10,4054,40542
1479844216,zlog_batch_write_simple,0,25,1024,50,10,4055,40557
1479844218,zlog_batch_write_simple,0,25,1024,50,10,4058,40587
1479844220,zlog_batch_write_simple,0,25,1024,50,10,4127,41272
1479844222,zlog_batch_write_simple,0,25,1024,50,10,4053,40532
1479844224,zlog_batch_write_simple,0,25,1024,50,10,4099,40997
1479844226,zlog_batch_write_simple,0,25,1024,50,10,4127,41277
1479844228,zlog_batch_write_simple,0,25,1024,50,10,4030,40302
1479844230,zlog_batch_write_simple,0,25,1024,50,10,4160,41607
1479844232,zlog_batch_write_simple,0,25,1024,50,10,4138,41387
1479844234,zlog_batch_write_simple,0,25,1024,50,10,4132,41322
1479844236,zlog_batch_write_simple,0,25,1024,50,10,4103,41032
1479844238,zlog_batch_write_simple,0,25,1024,50,10,4025,40256
1479844240,zlog_batch_write_simple,0,25,1024,50,10,4185,41857
1479844242,zlog_batch_write_simple,0,25,1024,50,10,4115,41157
1479844244,zlog_batch_write_simple,0,25,1024,50,10,4133,41332
1479844246,zlog_batch_write_simple,0,25,1024,50,10,4105,41052
1479844248,zlog_batch_write_simple,0,25,1024,50,10,4081,40812
1479844250,zlog_batch_write_simple,0,25,1024,50,10,4090,40902
1479844252,zlog_batch_write_simple,0,25,1024,50,10,4028,40282
1479844254,zlog_batch_write_simple,0,25,1024,50,10,4014,40147
1479844256,zlog_batch_write_simple,0,25,1024,50,10,4031,40312
1479844258,zlog_batch_write_simple,0,25,1024,50,10,4047,40473
1479844260,zlog_batch_write_simple,0,25,1024,50,10,4039,40392
1479844262,zlog_batch_write_simple,0,25,1024,50,10,4022,40227
1479844264,zlog_batch_write_simple,0,25,1024,50,10,4045,40452
1479844266,zlog_batch_write_simple,0,25,1024,50,10,3966,39667
1479844268,zlog_batch_write_simple,0,25,1024,50,10,3986,39867
1479844270,zlog_batch_write_simple,0,25,1024,50,10,3948,39482
1479844272,zlog_batch_write_simple,0,25,1024,50,10,3939,39392
1479844274,zlog_batch_write_simple,0,25,1024,50,10,3936,39367
1479844276,zlog_batch_write_simple,0,25,1024,50,10,3933,39337
1479844278,zlog_batch_write_simple,0,25,1024,50,10,3953,39537
1479844280,zlog_batch_write_simple,0,25,1024,50,10,3985,39857
1479844282,zlog_batch_write_simple,0,25,1024,50,10,3866,38667
1479844284,zlog_batch_write_simple,0,25,1024,50,10,3954,39542
1479844286,zlog_batch_write_simple,0,25,1024,50,10,3964,39642
1479844288,zlog_batch_write_simple,0,25,1024,50,10,3919,39197
1479844290,zlog_batch_write_simple,0,25,1024,50,10,3888,38887
