time,opname,outlier,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479845896,zlog_batch_write_batch,10,25,1024,50,10,7134,71347
1479845898,zlog_batch_write_batch,10,25,1024,50,10,10117,101175
1479845900,zlog_batch_write_batch,10,25,1024,50,10,11116,111161
1479845902,zlog_batch_write_batch,10,25,1024,50,10,11273,112738
1479845904,zlog_batch_write_batch,10,25,1024,50,10,10632,106323
1479845906,zlog_batch_write_batch,10,25,1024,50,10,11093,110933
1479845908,zlog_batch_write_batch,10,25,1024,50,10,11245,112453
1479845910,zlog_batch_write_batch,10,25,1024,50,10,11192,111923
1479845912,zlog_batch_write_batch,10,25,1024,50,10,10869,108698
1479845914,zlog_batch_write_batch,10,25,1024,50,10,11121,111219
1479845916,zlog_batch_write_batch,10,25,1024,50,10,9175,91754
1479845918,zlog_batch_write_batch,10,25,1024,50,10,11288,112883
1479845920,zlog_batch_write_batch,10,25,1024,50,10,11313,113133
1479845922,zlog_batch_write_batch,10,25,1024,50,10,8599,85999
1479845924,zlog_batch_write_batch,10,25,1024,50,10,11171,111713
1479845926,zlog_batch_write_batch,10,25,1024,50,10,11343,113433
1479845928,zlog_batch_write_batch,10,25,1024,50,10,10695,106953
1479845930,zlog_batch_write_batch,10,25,1024,50,10,11103,111038
1479845932,zlog_batch_write_batch,10,25,1024,50,10,11217,112178
1479845934,zlog_batch_write_batch,10,25,1024,50,10,9111,91115
1479845936,zlog_batch_write_batch,10,25,1024,50,10,11320,113208
1479845938,zlog_batch_write_batch,10,25,1024,50,10,11129,111293
1479845940,zlog_batch_write_batch,10,25,1024,50,10,9131,91314
1479845942,zlog_batch_write_batch,10,25,1024,50,10,11230,112308
1479845944,zlog_batch_write_batch,10,25,1024,50,10,11136,111368
1479845946,zlog_batch_write_batch,10,25,1024,50,10,11318,113188
1479845948,zlog_batch_write_batch,10,25,1024,50,10,10990,109908
1479845950,zlog_batch_write_batch,10,25,1024,50,10,11118,111183
1479845952,zlog_batch_write_batch,10,25,1024,50,10,9100,91009
1479845954,zlog_batch_write_batch,10,25,1024,50,10,11171,111718
1479845956,zlog_batch_write_batch,10,25,1024,50,10,11183,111833
1479845958,zlog_batch_write_batch,10,25,1024,50,10,11126,111263
1479845960,zlog_batch_write_batch,10,25,1024,50,10,11237,112373
1479845962,zlog_batch_write_batch,10,25,1024,50,10,10560,105608
1479845964,zlog_batch_write_batch,10,25,1024,50,10,9117,91174
1479845966,zlog_batch_write_batch,10,25,1024,50,10,11123,111237
1479845968,zlog_batch_write_batch,10,25,1024,50,10,10679,106798
1479845970,zlog_batch_write_batch,10,25,1024,50,10,11110,111108
1479845972,zlog_batch_write_batch,10,25,1024,50,10,10987,109879
1479845974,zlog_batch_write_batch,10,25,1024,50,10,10564,105649
1479845976,zlog_batch_write_batch,10,25,1024,50,10,10629,106293
1479845978,zlog_batch_write_batch,10,25,1024,50,10,10327,103274
1479845980,zlog_batch_write_batch,10,25,1024,50,10,9640,96404
1479845982,zlog_batch_write_batch,10,25,1024,50,10,9413,94133
1479845984,zlog_batch_write_batch,10,25,1024,50,10,9851,98519
1479845986,zlog_batch_write_batch,10,25,1024,50,10,10920,109203
1479845988,zlog_batch_write_batch,10,25,1024,50,10,11075,110758
1479845990,zlog_batch_write_batch,10,25,1024,50,10,11281,112813
1479845992,zlog_batch_write_batch,10,25,1024,50,10,9923,99239
1479845994,zlog_batch_write_batch,10,25,1024,50,10,11153,111533
1479845996,zlog_batch_write_batch,10,25,1024,50,10,11267,112678
1479845998,zlog_batch_write_batch,10,25,1024,50,10,9372,93724
1479846000,zlog_batch_write_batch,10,25,1024,50,10,11171,111714
1479846002,zlog_batch_write_batch,10,25,1024,50,10,11184,111843
1479846004,zlog_batch_write_batch,10,25,1024,50,10,10229,102299
1479846006,zlog_batch_write_batch,10,25,1024,50,10,10971,109713
1479846008,zlog_batch_write_batch,10,25,1024,50,10,11355,113558
1479846010,zlog_batch_write_batch,10,25,1024,50,10,9249,92494
1479846012,zlog_batch_write_batch,10,25,1024,50,10,11069,110693
1479846014,zlog_batch_write_batch,10,25,1024,50,10,11175,111758
1479846016,zlog_batch_write_batch,10,25,1024,50,10,10226,102269
1479846018,zlog_batch_write_batch,10,25,1024,50,10,11161,111619
1479846020,zlog_batch_write_batch,10,25,1024,50,10,11256,112567
1479846022,zlog_batch_write_batch,10,25,1024,50,10,7882,78820
1479846024,zlog_batch_write_batch,10,25,1024,50,10,10957,109573
1479846026,zlog_batch_write_batch,10,25,1024,50,10,10841,108413
1479846028,zlog_batch_write_batch,10,25,1024,50,10,8272,82725
1479846030,zlog_batch_write_batch,10,25,1024,50,10,11237,112379
1479846032,zlog_batch_write_batch,10,25,1024,50,10,11318,113182
1479846034,zlog_batch_write_batch,10,25,1024,50,10,9563,95633
1479846036,zlog_batch_write_batch,10,25,1024,50,10,11075,110753
1479846038,zlog_batch_write_batch,10,25,1024,50,10,11206,112063
1479846040,zlog_batch_write_batch,10,25,1024,50,10,7381,73810
1479846042,zlog_batch_write_batch,10,25,1024,50,10,11277,112778
1479846044,zlog_batch_write_batch,10,25,1024,50,10,11157,111578
1479846046,zlog_batch_write_batch,10,25,1024,50,10,10304,103044
1479846048,zlog_batch_write_batch,10,25,1024,50,10,11127,111278
1479846050,zlog_batch_write_batch,10,25,1024,50,10,11149,111498
1479846052,zlog_batch_write_batch,10,25,1024,50,10,10698,106988
1479846054,zlog_batch_write_batch,10,25,1024,50,10,11278,112783
1479846056,zlog_batch_write_batch,10,25,1024,50,10,10573,105733
1479846058,zlog_batch_write_batch,10,25,1024,50,10,8690,86904
1479846060,zlog_batch_write_batch,10,25,1024,50,10,10912,109128
1479846062,zlog_batch_write_batch,10,25,1024,50,10,11152,111528
1479846064,zlog_batch_write_batch,10,25,1024,50,10,10120,101209
1479846066,zlog_batch_write_batch,10,25,1024,50,10,11091,110917
1479846068,zlog_batch_write_batch,10,25,1024,50,10,10926,109268
1479846070,zlog_batch_write_batch,10,25,1024,50,10,8076,80765
1479846072,zlog_batch_write_batch,10,25,1024,50,10,11125,111258
1479846074,zlog_batch_write_batch,10,25,1024,50,10,11153,111538
1479846076,zlog_batch_write_batch,10,25,1024,50,10,10903,109038
1479846078,zlog_batch_write_batch,10,25,1024,50,10,10987,109874
1479846080,zlog_batch_write_batch,10,25,1024,50,10,9243,92435
