time,opname,outlier,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479846317,zlog_batch_write_batch_oident,10,25,1024,50,10,7243,72432
1479846319,zlog_batch_write_batch_oident,10,25,1024,50,10,10270,102702
1479846321,zlog_batch_write_batch_oident,10,25,1024,50,10,10710,107108
1479846323,zlog_batch_write_batch_oident,10,25,1024,50,10,10634,106343
1479846325,zlog_batch_write_batch_oident,10,25,1024,50,10,10753,107538
1479846327,zlog_batch_write_batch_oident,10,25,1024,50,10,10764,107643
1479846329,zlog_batch_write_batch_oident,10,25,1024,50,10,10684,106848
1479846331,zlog_batch_write_batch_oident,10,25,1024,50,10,10166,101668
1479846333,zlog_batch_write_batch_oident,10,25,1024,50,10,10441,104419
1479846335,zlog_batch_write_batch_oident,10,25,1024,50,10,10730,107303
1479846337,zlog_batch_write_batch_oident,10,25,1024,50,10,10321,103218
1479846339,zlog_batch_write_batch_oident,10,25,1024,50,10,10833,108338
1479846341,zlog_batch_write_batch_oident,10,25,1024,50,10,10692,106929
1479846343,zlog_batch_write_batch_oident,10,25,1024,50,10,9457,94574
1479846345,zlog_batch_write_batch_oident,10,25,1024,50,10,10198,101983
1479846347,zlog_batch_write_batch_oident,10,25,1024,50,10,10490,104908
1479846349,zlog_batch_write_batch_oident,10,25,1024,50,10,10456,104568
1479846351,zlog_batch_write_batch_oident,10,25,1024,50,10,10803,108037
1479846353,zlog_batch_write_batch_oident,10,25,1024,50,10,10795,107953
1479846355,zlog_batch_write_batch_oident,10,25,1024,50,10,8316,83165
1479846357,zlog_batch_write_batch_oident,10,25,1024,50,10,10518,105189
1479846359,zlog_batch_write_batch_oident,10,25,1024,50,10,10477,104774
1479846361,zlog_batch_write_batch_oident,10,25,1024,50,10,9537,95374
1479846363,zlog_batch_write_batch_oident,10,25,1024,50,10,10276,102768
1479846365,zlog_batch_write_batch_oident,10,25,1024,50,10,10780,107809
1479846367,zlog_batch_write_batch_oident,10,25,1024,50,10,10517,105179
1479846369,zlog_batch_write_batch_oident,10,25,1024,50,10,10504,105048
1479846371,zlog_batch_write_batch_oident,10,25,1024,50,10,10433,104333
1479846373,zlog_batch_write_batch_oident,10,25,1024,50,10,8785,87855
