time,opname,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479355216,zlog_batch_write_batch,20,1024,40,10,0,0
1479355218,zlog_batch_write_batch,20,1024,40,10,0,0
1479355220,zlog_batch_write_batch,20,1024,40,10,0,0
1479355222,zlog_batch_write_batch,20,1024,40,10,0,0
1479355224,zlog_batch_write_batch,20,1024,40,10,0,0
1479355226,zlog_batch_write_batch,20,1024,40,10,0,0
1479355228,zlog_batch_write_batch,20,1024,40,10,0,0
1479355230,zlog_batch_write_batch,20,1024,40,10,0,0
1479355232,zlog_batch_write_batch,20,1024,40,10,758,7584
1479355234,zlog_batch_write_batch,20,1024,40,10,4494,44942
1479355236,zlog_batch_write_batch,20,1024,40,10,10898,108988
1479355238,zlog_batch_write_batch,20,1024,40,10,10851,108515
1479355240,zlog_batch_write_batch,20,1024,40,10,11056,110569
1479355242,zlog_batch_write_batch,20,1024,40,10,10959,109599
1479355244,zlog_batch_write_batch,20,1024,40,10,10472,104728
1479355246,zlog_batch_write_batch,20,1024,40,10,11064,110643
1479355248,zlog_batch_write_batch,20,1024,40,10,11128,111283
1479355250,zlog_batch_write_batch,20,1024,40,10,8963,89639
1479355252,zlog_batch_write_batch,20,1024,40,10,11027,110273
1479355254,zlog_batch_write_batch,20,1024,40,10,10839,108399
1479355256,zlog_batch_write_batch,20,1024,40,10,9916,99164
1479355258,zlog_batch_write_batch,20,1024,40,10,11084,110848
1479355260,zlog_batch_write_batch,20,1024,40,10,11141,111418
1479355262,zlog_batch_write_batch,20,1024,40,10,9308,93084
1479355264,zlog_batch_write_batch,20,1024,40,10,11028,110284
1479355266,zlog_batch_write_batch,20,1024,40,10,11069,110699
1479355268,zlog_batch_write_batch,20,1024,40,10,9506,95069
1479355270,zlog_batch_write_batch,20,1024,40,10,11084,110848
1479355272,zlog_batch_write_batch,20,1024,40,10,11075,110758
1479355274,zlog_batch_write_batch,20,1024,40,10,9429,94299
1479355276,zlog_batch_write_batch,20,1024,40,10,11107,111073
1479355278,zlog_batch_write_batch,20,1024,40,10,10368,103689
1479355280,zlog_batch_write_batch,20,1024,40,10,11064,110643
1479355282,zlog_batch_write_batch,20,1024,40,10,11112,111129
1479355284,zlog_batch_write_batch,20,1024,40,10,11060,110603
1479355286,zlog_batch_write_batch,20,1024,40,10,11001,110014
1479355288,zlog_batch_write_batch,20,1024,40,10,11064,110644
1479355290,zlog_batch_write_batch,20,1024,40,10,10750,107503
1479355292,zlog_batch_write_batch,20,1024,40,10,11024,110240
1479355294,zlog_batch_write_batch,20,1024,40,10,10959,109593
1479355296,zlog_batch_write_batch,20,1024,40,10,10986,109862
1479355298,zlog_batch_write_batch,20,1024,40,10,10423,104238
1479355300,zlog_batch_write_batch,20,1024,40,10,11155,111553
1479355302,zlog_batch_write_batch,20,1024,40,10,10396,103964
1479355304,zlog_batch_write_batch,20,1024,40,10,9826,98264
1479355306,zlog_batch_write_batch,20,1024,40,10,10991,109919
1479355308,zlog_batch_write_batch,20,1024,40,10,9753,97534
1479355310,zlog_batch_write_batch,20,1024,40,10,10159,101598
1479355312,zlog_batch_write_batch,20,1024,40,10,11029,110298
1479355314,zlog_batch_write_batch,20,1024,40,10,9543,95433
1479355316,zlog_batch_write_batch,20,1024,40,10,10942,109423
1479355318,zlog_batch_write_batch,20,1024,40,10,11214,112143
1479355320,zlog_batch_write_batch,20,1024,40,10,9206,92065
1479355322,zlog_batch_write_batch,20,1024,40,10,11075,110758
1479355324,zlog_batch_write_batch,20,1024,40,10,11052,110524
1479355326,zlog_batch_write_batch,20,1024,40,10,9496,94968
1479355328,zlog_batch_write_batch,20,1024,40,10,11039,110398
1479355330,zlog_batch_write_batch,20,1024,40,10,10815,108153
1479355332,zlog_batch_write_batch,20,1024,40,10,10765,107659
1479355334,zlog_batch_write_batch,20,1024,40,10,11044,110444
1479355336,zlog_batch_write_batch,20,1024,40,10,10995,109958
1479355338,zlog_batch_write_batch,20,1024,40,10,9266,92669
1479355340,zlog_batch_write_batch,20,1024,40,10,11041,110414
1479355342,zlog_batch_write_batch,20,1024,40,10,10904,109044
1479355344,zlog_batch_write_batch,20,1024,40,10,9041,90414
1479355346,zlog_batch_write_batch,20,1024,40,10,8852,88525
1479355348,zlog_batch_write_batch,20,1024,40,10,11112,111127
1479355350,zlog_batch_write_batch,20,1024,40,10,9896,98964
1479355352,zlog_batch_write_batch,20,1024,40,10,11103,111038
1479355354,zlog_batch_write_batch,20,1024,40,10,11070,110704
1479355356,zlog_batch_write_batch,20,1024,40,10,9128,91284
1479355358,zlog_batch_write_batch,20,1024,40,10,11141,111418
1479355360,zlog_batch_write_batch,20,1024,40,10,10948,109489
1479355362,zlog_batch_write_batch,20,1024,40,10,9158,91585
1479355364,zlog_batch_write_batch,20,1024,40,10,10957,109574
1479355366,zlog_batch_write_batch,20,1024,40,10,11017,110179
1479355368,zlog_batch_write_batch,20,1024,40,10,9209,92094
1479355370,zlog_batch_write_batch,20,1024,40,10,10961,109619
1479355372,zlog_batch_write_batch,20,1024,40,10,10871,108714
1479355374,zlog_batch_write_batch,20,1024,40,10,9644,96444
1479355376,zlog_batch_write_batch,20,1024,40,10,11005,110059
1479355378,zlog_batch_write_batch,20,1024,40,10,10869,108694
1479355380,zlog_batch_write_batch,20,1024,40,10,9413,94134
1479355382,zlog_batch_write_batch,20,1024,40,10,11072,110729
1479355384,zlog_batch_write_batch,20,1024,40,10,10851,108513
1479355386,zlog_batch_write_batch,20,1024,40,10,10853,108533
1479355388,zlog_batch_write_batch,20,1024,40,10,11075,110759
1479355390,zlog_batch_write_batch,20,1024,40,10,10894,108943
1479355392,zlog_batch_write_batch,20,1024,40,10,10846,108463
1479355394,zlog_batch_write_batch,20,1024,40,10,10993,109938
1479355396,zlog_batch_write_batch,20,1024,40,10,10765,107654
1479355398,zlog_batch_write_batch,20,1024,40,10,10759,107592
1479355400,zlog_batch_write_batch,20,1024,40,10,11032,110323
1479355402,zlog_batch_write_batch,20,1024,40,10,10261,102614
1479355404,zlog_batch_write_batch,20,1024,40,10,9581,95810
1479355406,zlog_batch_write_batch,20,1024,40,10,11013,110134
1479355408,zlog_batch_write_batch,20,1024,40,10,10016,100169
1479355410,zlog_batch_write_batch,20,1024,40,10,10454,104544
1479355412,zlog_batch_write_batch,20,1024,40,10,10938,109382
1479355414,zlog_batch_write_batch,20,1024,40,10,9380,93804
1479355416,zlog_batch_write_batch,20,1024,40,10,10984,109846
1479355418,zlog_batch_write_batch,20,1024,40,10,10917,109174
1479355420,zlog_batch_write_batch,20,1024,40,10,9354,93544
1479355422,zlog_batch_write_batch,20,1024,40,10,10852,108523
1479355424,zlog_batch_write_batch,20,1024,40,10,10856,108564
1479355426,zlog_batch_write_batch,20,1024,40,10,9683,96839
1479355428,zlog_batch_write_batch,20,1024,40,10,10941,109418
1479355430,zlog_batch_write_batch,20,1024,40,10,10935,109354
1479355432,zlog_batch_write_batch,20,1024,40,10,7964,79640
1479355434,zlog_batch_write_batch,20,1024,40,10,10115,101154
1479355436,zlog_batch_write_batch,20,1024,40,10,10955,109554
1479355438,zlog_batch_write_batch,20,1024,40,10,9694,96949
1479355440,zlog_batch_write_batch,20,1024,40,10,11042,110424
1479355442,zlog_batch_write_batch,20,1024,40,10,10915,109153
1479355444,zlog_batch_write_batch,20,1024,40,10,9322,93220
1479355446,zlog_batch_write_batch,20,1024,40,10,10504,105043
1479355448,zlog_batch_write_batch,20,1024,40,10,10938,109383
1479355450,zlog_batch_write_batch,20,1024,40,10,10095,100954
1479355452,zlog_batch_write_batch,20,1024,40,10,11031,110318
1479355454,zlog_batch_write_batch,20,1024,40,10,11005,110052
1479355456,zlog_batch_write_batch,20,1024,40,10,9759,97594
1479355458,zlog_batch_write_batch,20,1024,40,10,10971,109713
1479355460,zlog_batch_write_batch,20,1024,40,10,10940,109408
1479355462,zlog_batch_write_batch,20,1024,40,10,10753,107533
1479355464,zlog_batch_write_batch,20,1024,40,10,11015,110151
1479355466,zlog_batch_write_batch,20,1024,40,10,10967,109679
1479355468,zlog_batch_write_batch,20,1024,40,10,10633,106338
1479355470,zlog_batch_write_batch,20,1024,40,10,11003,110034
1479355472,zlog_batch_write_batch,20,1024,40,10,10933,109334
1479355474,zlog_batch_write_batch,20,1024,40,10,9951,99514
1479355476,zlog_batch_write_batch,20,1024,40,10,10825,108253
1479355478,zlog_batch_write_batch,20,1024,40,10,10024,100240
1479355480,zlog_batch_write_batch,20,1024,40,10,7702,77025
1479355482,zlog_batch_write_batch,20,1024,40,10,11057,110579
1479355484,zlog_batch_write_batch,20,1024,40,10,10978,109783
1479355486,zlog_batch_write_batch,20,1024,40,10,9209,92099
1479355488,zlog_batch_write_batch,20,1024,40,10,10880,108808
1479355490,zlog_batch_write_batch,20,1024,40,10,10897,108974
1479355492,zlog_batch_write_batch,20,1024,40,10,8527,85270
1479355494,zlog_batch_write_batch,20,1024,40,10,11062,110624
