time,opname,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479355577,zlog_batch_write_simple,20,1024,80,1,9354,9354
1479355579,zlog_batch_write_simple,20,1024,80,1,14810,14810
1479355581,zlog_batch_write_simple,20,1024,80,1,14165,14165
1479355583,zlog_batch_write_simple,20,1024,80,1,15063,15063
1479355585,zlog_batch_write_simple,20,1024,80,1,14978,14978
1479355587,zlog_batch_write_simple,20,1024,80,1,14943,14943
1479355589,zlog_batch_write_simple,20,1024,80,1,14735,14735
1479355591,zlog_batch_write_simple,20,1024,80,1,15011,15011
1479355593,zlog_batch_write_simple,20,1024,80,1,14794,14794
1479355595,zlog_batch_write_simple,20,1024,80,1,14689,14689
1479355597,zlog_batch_write_simple,20,1024,80,1,14878,14878
1479355599,zlog_batch_write_simple,20,1024,80,1,14813,14813
1479355601,zlog_batch_write_simple,20,1024,80,1,14768,14768
1479355603,zlog_batch_write_simple,20,1024,80,1,14753,14753
1479355605,zlog_batch_write_simple,20,1024,80,1,14696,14696
1479355607,zlog_batch_write_simple,20,1024,80,1,14829,14829
1479355609,zlog_batch_write_simple,20,1024,80,1,14821,14821
1479355611,zlog_batch_write_simple,20,1024,80,1,14835,14835
1479355613,zlog_batch_write_simple,20,1024,80,1,14673,14673
1479355615,zlog_batch_write_simple,20,1024,80,1,14802,14802
1479355617,zlog_batch_write_simple,20,1024,80,1,14814,14814
1479355619,zlog_batch_write_simple,20,1024,80,1,14811,14811
1479355621,zlog_batch_write_simple,20,1024,80,1,14729,14729
1479355623,zlog_batch_write_simple,20,1024,80,1,14648,14648
1479355625,zlog_batch_write_simple,20,1024,80,1,14794,14794
1479355627,zlog_batch_write_simple,20,1024,80,1,14885,14885
1479355629,zlog_batch_write_simple,20,1024,80,1,14721,14721
1479355631,zlog_batch_write_simple,20,1024,80,1,14762,14762
1479355633,zlog_batch_write_simple,20,1024,80,1,13772,13772
1479355635,zlog_batch_write_simple,20,1024,80,1,14862,14862
1479355637,zlog_batch_write_simple,20,1024,80,1,14959,14959
1479355639,zlog_batch_write_simple,20,1024,80,1,14640,14640
1479355641,zlog_batch_write_simple,20,1024,80,1,14948,14948
1479355643,zlog_batch_write_simple,20,1024,80,1,14642,14642
1479355645,zlog_batch_write_simple,20,1024,80,1,14849,14849
1479355647,zlog_batch_write_simple,20,1024,80,1,14941,14941
1479355649,zlog_batch_write_simple,20,1024,80,1,14751,14751
1479355651,zlog_batch_write_simple,20,1024,80,1,14928,14928
1479355653,zlog_batch_write_simple,20,1024,80,1,14613,14613
1479355655,zlog_batch_write_simple,20,1024,80,1,14826,14826
1479355657,zlog_batch_write_simple,20,1024,80,1,14793,14793
1479355659,zlog_batch_write_simple,20,1024,80,1,14874,14874
1479355661,zlog_batch_write_simple,20,1024,80,1,14696,14696
1479355663,zlog_batch_write_simple,20,1024,80,1,14619,14619
1479355665,zlog_batch_write_simple,20,1024,80,1,14639,14639
1479355667,zlog_batch_write_simple,20,1024,80,1,14913,14913
1479355669,zlog_batch_write_simple,20,1024,80,1,14774,14774
1479355671,zlog_batch_write_simple,20,1024,80,1,14787,14787
1479355673,zlog_batch_write_simple,20,1024,80,1,14204,14204
1479355675,zlog_batch_write_simple,20,1024,80,1,14672,14672
1479355677,zlog_batch_write_simple,20,1024,80,1,14775,14775
1479355679,zlog_batch_write_simple,20,1024,80,1,14808,14808
1479355681,zlog_batch_write_simple,20,1024,80,1,14893,14893
1479355683,zlog_batch_write_simple,20,1024,80,1,14670,14670
1479355685,zlog_batch_write_simple,20,1024,80,1,14764,14764
1479355687,zlog_batch_write_simple,20,1024,80,1,14540,14540
1479355689,zlog_batch_write_simple,20,1024,80,1,14781,14781
1479355691,zlog_batch_write_simple,20,1024,80,1,14924,14924
1479355693,zlog_batch_write_simple,20,1024,80,1,14753,14753
1479355695,zlog_batch_write_simple,20,1024,80,1,14799,14799
1479355697,zlog_batch_write_simple,20,1024,80,1,14744,14744
1479355699,zlog_batch_write_simple,20,1024,80,1,14724,14724
1479355701,zlog_batch_write_simple,20,1024,80,1,14905,14905
